burgplatz_time, bugplatz_auslastung, ruh_time, ruh_austlastung, domplatz_time, domplatz_auslastung, rathaus_time, rathaus_auslastung
2021-11-24 12:47:17,0,2021-11-24 12:47:18,0,2021-11-24 12:47:17,0,2021-11-24 12:47:17,0
2021-11-24 12:48:37,0,2021-11-24 12:48:42,0,2021-11-24 12:48:37,0,2021-11-24 12:48:53,0
2021-11-24 12:51:17,0,2021-11-24 12:51:06,0,2021-11-24 12:51:17,0,2021-11-24 12:51:17,0
2021-11-24 12:56:47,0,2021-11-24 12:56:37,0,2021-11-24 12:56:50,0,2021-11-24 12:56:54,0
2021-11-25 12:12:54,18,2021-11-25 12:12:50,14,2021-11-25 12:13:03,19,2021-11-25 12:12:46,14
2021-11-25 12:13:53,18,2021-11-25 12:13:48,15,2021-11-25 12:14:04,18,2021-11-25 12:14:05,13
2021-11-25 12:14:54,18,2021-11-25 12:14:49,15,2021-11-25 12:15:01,19,2021-11-25 12:15:02,13
2021-11-25 12:16:07,18,2021-11-25 12:16:01,18,2021-11-25 12:15:58,22,2021-11-25 12:15:57,15
2021-11-25 12:17:04,19,2021-11-25 12:16:58,18,2021-11-25 12:16:52,23,2021-11-25 12:16:52,13
2021-11-25 12:18:02,21,2021-11-25 12:17:56,17,2021-11-25 12:18:02,23,2021-11-25 12:18:10,12
2021-11-25 12:19:02,21,2021-11-25 12:18:54,19,2021-11-25 12:19:00,22,2021-11-25 12:19:08,13
2021-11-25 12:20:02,20,2021-11-25 12:20:11,24,2021-11-25 12:19:58,24,2021-11-25 12:20:02,13
2021-11-25 12:21:02,19,2021-11-25 12:21:11,20,2021-11-25 12:20:57,22,2021-11-25 12:21:01,14
2021-11-25 12:22:02,19,2021-11-25 12:22:12,21,2021-11-25 12:22:13,20,2021-11-25 12:22:01,14
2021-11-25 12:23:11,19,2021-11-25 12:23:07,20,2021-11-25 12:23:11,20,2021-11-25 12:23:15,14
2021-11-25 12:24:09,21,2021-11-25 12:24:06,20,2021-11-25 12:24:08,20,2021-11-25 12:24:11,15
2021-11-25 12:25:11,24,2021-11-25 12:25:07,22,2021-11-25 12:25:05,21,2021-11-25 12:25:08,16
2021-11-25 12:26:12,23,2021-11-25 12:26:09,23,2021-11-25 12:26:03,23,2021-11-25 12:26:07,16
2021-11-25 12:27:12,25,2021-11-25 12:27:03,24,2021-11-25 12:27:17,24,2021-11-25 12:27:03,15
2021-11-25 12:28:11,26,2021-11-25 12:28:20,26,2021-11-25 12:28:14,23,2021-11-25 12:28:19,16
2021-11-25 12:29:11,26,2021-11-25 12:29:16,25,2021-11-25 12:29:14,22,2021-11-25 12:29:15,18
2021-11-25 12:30:11,27,2021-11-25 12:30:14,28,2021-11-25 12:30:15,22,2021-11-25 12:30:09,15
2021-11-25 12:31:07,29,2021-11-25 12:31:11,29,2021-11-25 12:31:17,22,2021-11-25 12:31:08,16
2021-11-25 12:32:08,28,2021-11-25 12:32:25,29,2021-11-25 12:32:15,22,2021-11-25 12:32:24,15
2021-11-25 12:33:23,29,2021-11-25 12:33:20,29,2021-11-25 12:33:16,25,2021-11-25 12:33:19,14
2021-11-25 12:34:19,31,2021-11-25 12:34:19,32,2021-11-25 12:34:15,25,2021-11-25 12:34:15,13
2021-11-25 12:35:17,30,2021-11-25 12:35:14,29,2021-11-25 12:35:15,26,2021-11-25 12:35:13,13
2021-11-25 12:36:29,30,2021-11-25 12:36:27,26,2021-11-25 12:36:19,26,2021-11-25 12:36:30,15
2021-11-25 12:37:20,29,2021-11-25 12:37:24,25,2021-11-25 12:37:17,27,2021-11-25 12:37:27,13
2021-11-25 12:38:16,30,2021-11-25 12:38:19,26,2021-11-25 12:38:17,27,2021-11-25 12:38:22,14
2021-11-25 12:39:16,31,2021-11-25 12:39:20,24,2021-11-25 12:39:18,26,2021-11-25 12:39:19,15
2021-11-25 12:40:31,31,2021-11-25 12:40:19,23,2021-11-25 12:40:20,24,2021-11-25 12:40:35,15
2021-11-25 12:41:24,33,2021-11-25 12:41:33,24,2021-11-25 12:41:17,23,2021-11-25 12:41:31,13
2021-11-25 12:42:22,35,2021-11-25 12:42:33,24,2021-11-25 12:42:35,24,2021-11-25 12:42:26,13
2021-11-25 12:43:21,36,2021-11-25 12:43:29,21,2021-11-25 12:43:34,24,2021-11-25 12:43:24,13
2021-11-25 12:44:36,35,2021-11-25 12:44:28,21,2021-11-25 12:44:30,24,2021-11-25 12:44:38,14
2021-11-25 12:45:31,36,2021-11-25 12:45:29,20,2021-11-25 12:45:31,25,2021-11-25 12:45:38,14
2021-11-25 12:46:28,36,2021-11-25 12:46:29,22,2021-11-25 12:46:29,25,2021-11-25 12:46:35,12
2021-11-25 12:47:25,35,2021-11-25 12:47:41,20,2021-11-25 12:47:27,23,2021-11-25 12:47:35,13
2021-11-25 12:48:41,36,2021-11-25 12:48:36,20,2021-11-25 12:48:42,24,2021-11-25 12:48:35,14
2021-11-25 12:49:39,37,2021-11-25 12:49:38,20,2021-11-25 12:49:36,24,2021-11-25 12:49:33,14
2021-11-25 12:50:37,37,2021-11-25 12:50:32,20,2021-11-25 12:50:31,23,2021-11-25 12:50:33,12
2021-11-25 12:51:37,37,2021-11-25 12:51:33,20,2021-11-25 12:51:31,23,2021-11-25 12:51:33,13
2021-11-25 12:52:33,37,2021-11-25 12:52:47,23,2021-11-25 12:52:31,24,2021-11-25 12:52:33,15
2021-11-25 12:53:33,34,2021-11-25 12:53:41,24,2021-11-25 12:53:31,24,2021-11-25 12:53:36,15
2021-11-25 12:54:33,34,2021-11-25 12:54:44,23,2021-11-25 12:54:45,24,2021-11-25 12:54:35,16
2021-11-25 12:55:34,34,2021-11-25 12:55:41,23,2021-11-25 12:55:41,24,2021-11-25 12:55:36,17
2021-11-25 12:56:52,36,2021-11-25 12:56:38,23,2021-11-25 12:56:38,24,2021-11-25 12:56:35,15
2021-11-25 12:57:45,35,2021-11-25 12:57:35,22,2021-11-25 12:57:40,24,2021-11-25 12:57:53,16
2021-11-25 12:58:48,38,2021-11-25 12:58:46,22,2021-11-25 12:58:55,24,2021-11-25 12:58:52,15
2021-11-25 12:59:45,37,2021-11-25 12:59:41,25,2021-11-25 12:59:48,24,2021-11-25 12:59:52,15
2021-11-25 13:00:57,35,2021-11-25 13:00:57,25,2021-11-25 13:00:48,25,2021-11-25 13:00:50,11
2021-11-25 13:01:54,35,2021-11-25 13:01:54,25,2021-11-25 13:01:47,25,2021-11-25 13:01:48,11
2021-11-25 13:02:53,37,2021-11-25 13:02:53,23,2021-11-25 13:03:00,24,2021-11-25 13:02:48,10
2021-11-25 13:03:50,36,2021-11-25 13:03:50,25,2021-11-25 13:04:00,25,2021-11-25 13:03:47,11
2021-11-25 13:04:50,39,2021-11-25 13:04:50,25,2021-11-25 13:04:58,24,2021-11-25 13:04:50,12
2021-11-25 13:06:04,39,2021-11-25 13:05:50,25,2021-11-25 13:05:55,24,2021-11-25 13:06:05,13
2021-11-25 13:07:03,40,2021-11-25 13:07:04,25,2021-11-25 13:06:48,23,2021-11-25 13:07:00,14
2021-11-25 13:07:58,44,2021-11-25 13:08:00,23,2021-11-25 13:08:05,22,2021-11-25 13:07:56,14
2021-11-25 13:08:53,42,2021-11-25 13:08:57,25,2021-11-25 13:09:03,21,2021-11-25 13:08:54,14
2021-11-25 13:09:49,42,2021-11-25 13:09:53,27,2021-11-25 13:09:59,20,2021-11-25 13:09:52,15
2021-11-25 13:11:07,40,2021-11-25 13:11:08,24,2021-11-25 13:10:55,20,2021-11-25 13:11:08,14
2021-11-25 13:12:05,41,2021-11-25 13:12:01,23,2021-11-25 13:11:53,20,2021-11-25 13:12:05,14
2021-11-25 13:13:01,42,2021-11-25 13:13:00,23,2021-11-25 13:13:11,21,2021-11-25 13:12:58,15
2021-11-25 13:13:58,41,2021-11-25 13:13:57,22,2021-11-25 13:14:07,20,2021-11-25 13:13:58,14
2021-11-25 13:14:56,40,2021-11-25 13:15:11,24,2021-11-25 13:15:05,18,2021-11-25 13:14:56,15
2021-11-25 13:16:12,41,2021-11-25 13:16:08,25,2021-11-25 13:16:04,18,2021-11-25 13:16:08,15
2021-11-25 13:17:09,41,2021-11-25 13:17:05,25,2021-11-25 13:17:00,19,2021-11-25 13:17:08,13
2021-11-25 13:18:07,41,2021-11-25 13:18:10,26,2021-11-25 13:18:18,21,2021-11-25 13:18:08,12
2021-11-25 13:19:04,42,2021-11-25 13:19:10,26,2021-11-25 13:19:13,21,2021-11-25 13:19:04,12
2021-11-25 13:20:19,40,2021-11-25 13:20:05,25,2021-11-25 13:20:15,20,2021-11-25 13:20:12,13
2021-11-25 13:21:16,38,2021-11-25 13:21:02,28,2021-11-25 13:21:09,21,2021-11-25 13:21:08,12
2021-11-25 13:22:13,38,2021-11-25 13:22:16,29,2021-11-25 13:22:07,19,2021-11-25 13:22:08,13
2021-11-25 13:23:13,36,2021-11-25 13:23:13,29,2021-11-25 13:23:05,19,2021-11-25 13:23:22,13
2021-11-25 13:24:13,39,2021-11-25 13:24:10,32,2021-11-25 13:24:23,19,2021-11-25 13:24:20,14
2021-11-25 13:25:09,39,2021-11-25 13:25:08,31,2021-11-25 13:25:20,19,2021-11-25 13:25:17,12
2021-11-25 13:26:10,38,2021-11-25 13:26:08,32,2021-11-25 13:26:16,18,2021-11-25 13:26:12,12
2021-11-25 13:27:23,39,2021-11-25 13:27:23,34,2021-11-25 13:27:10,17,2021-11-25 13:27:12,12
2021-11-25 13:28:18,39,2021-11-25 13:28:22,35,2021-11-25 13:28:13,17,2021-11-25 13:28:28,12
2021-11-25 13:29:14,40,2021-11-25 13:29:16,36,2021-11-25 13:29:29,17,2021-11-25 13:29:24,12
2021-11-25 13:30:11,39,2021-11-25 13:30:28,35,2021-11-25 13:30:22,17,2021-11-25 13:30:20,12
2021-11-25 13:31:25,39,2021-11-25 13:31:25,35,2021-11-25 13:31:23,18,2021-11-25 13:31:14,11
2021-11-25 13:32:25,41,2021-11-25 13:32:20,32,2021-11-25 13:32:16,18,2021-11-25 13:32:14,10
2021-11-25 13:33:23,41,2021-11-25 13:33:16,32,2021-11-25 13:33:32,18,2021-11-25 13:33:31,9
2021-11-25 13:34:22,41,2021-11-25 13:34:31,33,2021-11-25 13:34:26,18,2021-11-25 13:34:27,7
2021-11-25 13:35:34,42,2021-11-25 13:35:31,30,2021-11-25 13:35:23,18,2021-11-25 13:35:23,8
2021-11-25 13:36:29,42,2021-11-25 13:36:32,34,2021-11-25 13:36:37,18,2021-11-25 13:36:18,8
2021-11-25 13:37:27,44,2021-11-25 13:37:32,32,2021-11-25 13:37:34,18,2021-11-25 13:37:38,11
2021-11-25 13:38:23,45,2021-11-25 13:38:26,35,2021-11-25 13:38:31,20,2021-11-25 13:38:36,13
